"Part";"Value";"Device";"Package";"Description";"3_STATE_OUTPUT";"AVAILABILITY";"BITS";"CIIVA_IDS";"CODE__JEDEC";"DATASHEET_VERSION";"DESCRIPTION";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"F__NOM_VOLTAGEMAXMHZ";"ICC__NOM_VOLTAGEMAXMA";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"INPUT_TYPE";"LOGIC";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMPERATURE_RANGEC";"OUTPUT_DRIVE_IOLIOHMAXMA";"OUTPUT_LOGIC";"OUTPUT_TYPE";"PACKAGE";"POPULARITY";"PREFIX";"PRICE";"RATING";"RELEASE_DATE";"SCHMITT_TRIGGER";"SPICEPREFIX";"STATIC_CURRENT";"TECHNOLOGY_FAMILY";"TPD__NOM_VOLTAGEMAXNS";"VAULT_GUID";"VAULT_REVISION";"VCC_MAX_V";"VCC_MIN_V";"VOLTAGE_NOM_V";
"CONNECTION_BETWEEN_SR5-6";"0R";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
"CONNECTION_BETWEEN_SR10-11";"0R";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
"CONNECTION_BETWEEN_SR15-16";"0R";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
"CONNECTION_BETWEEN_SR20-21";"0R";"R-US_M0805";"M0805";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"45";"";"";"";"";"";"R";"";"";"";"";"";"";"";"";
"EN_JP1";"";"PINHD-1X10";"1X10";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"EN_JP2";"";"PINHD-1X10";"1X10";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FPC1";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"0.5mm Pitch Connectors For FPC/FFC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FH12-20S-0.5SH(55)";"1324549";"34M6166";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FPC2";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"0.5mm Pitch Connectors For FPC/FFC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FH12-20S-0.5SH(55)";"1324549";"34M6166";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FPC3";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"0.5mm Pitch Connectors For FPC/FFC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FH12-20S-0.5SH(55)";"1324549";"34M6166";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"FPC4";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"FH12-20S-0.5SH";"0.5mm Pitch Connectors For FPC/FFC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FH12-20S-0.5SH(55)";"1324549";"34M6166";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
